task start end duration
mBackground 1472750025051 1472750028273 3222
mBackground 1472750024921 1472750028412 3491
mBackground 1472750025028 1472750028468 3440
mImgtbl 1472750049209 1472750054229 5020
mAdd 1472750055211 1472750081117 25906
mShrink 1472750081993 1472750085427 3434
mJPEG 1472750087888 1472750090694 2806
mProjectPP 1472750449598 1472750452646 3048
mProjectPP 1472750449514 1472750453009 3495
mProjectPP 1472750449497 1472750453430 3933
mProjectPP 1472750449547 1472750453425 3878
mProjectPP 1472750449593 1472750453578 3985
mProjectPP 1472750449609 1472750453594 3985
mProjectPP 1472750449620 1472750453707 4087
mProjectPP 1472750449555 1472750453860 4305
mProjectPP 1472750449644 1472750453887 4243
mProjectPP 1472750449519 1472750454111 4592
mDiffFit 1472750455065 1472750458839 3774
mDiffFit 1472750455234 1472750459125 3891
mDiffFit 1472750455928 1472750459295 3367
mDiffFit 1472750455846 1472750459381 3535
mDiffFit 1472750455908 1472750459524 3616
mDiffFit 1472750455239 1472750459573 4334
mDiffFit 1472750455868 1472750459635 3767
mDiffFit 1472750454404 1472750459719 5315
mDiffFit 1472750455564 1472750459734 4170
mDiffFit 1472750455948 1472750459994 4046
mDiffFit 1472750455673 1472750460055 4382
mDiffFit 1472750455819 1472750460135 4316
mDiffFit 1472750455903 1472750460580 4677
mDiffFit 1472750461130 1472750466853 5723
mDiffFit 1472750467842 1472750471463 3621
mDiffFit 1472750469080 1472750474031 4951
mDiffFit 1472750469170 1472750473284 4114
mConcatFit 1472750479463 1472750484263 4800
mBgModel 1472750486880 1472750489834 2954
mBackground 1472750492843 1472750495670 2827
mBackground 1472750492821 1472750496374 3553
mBackground 1472750492831 1472750496562 3731
mBackground 1472750492815 1472750496606 3791
mBackground 1472750492751 1472750496599 3848
mBackground 1472750492825 1472750496757 3932
mBackground 1472750492817 1472750496902 4085
mBackground 1472750497888 1472750501381 3493
mBackground 1472750497890 1472750501991 4101
mBackground 1472750497883 1472750502261 4378
mImgtbl 1472750504180 1472750509975 5795
mAdd 1472750512945 1472750544349 31404
mShrink 1472750546942 1472750552350 5408
mJPEG 1472750554415 1472750557928 3513
mProjectPP 1472750581321 1472750584712 3391
mProjectPP 1472750581545 1472750584885 3340
mProjectPP 1472750581324 1472750585014 3690
mProjectPP 1472750581334 1472750585068 3734
mProjectPP 1472750581314 1472750585509 4195
mProjectPP 1472750581322 1472750585537 4215
mProjectPP 1472750581344 1472750585769 4425
mProjectPP 1472750581603 1472750585985 4382
mProjectPP 1472750581336 1472750586089 4753
mProjectPP 1472750582672 1472750586609 3937
mDiffFit 1472750590344 1472750594172 3828
mDiffFit 1472750590310 1472750594431 4121
mDiffFit 1472750590332 1472750594524 4192
mDiffFit 1472750590878 1472750594583 3705
mDiffFit 1472750590223 1472750594838 4615
mDiffFit 1472750590937 1472750594841 3904
mDiffFit 1472750591041 1472750594901 3860
mDiffFit 1472750590735 1472750594918 4183
mDiffFit 1472750590369 1472750594958 4589
mDiffFit 1472750591218 1472750594970 3752
mDiffFit 1472750590766 1472750595059 4293
mDiffFit 1472750590362 1472750595097 4735
mDiffFit 1472750590951 1472750595284 4333
mDiffFit 1472750590532 1472750595395 4863
mDiffFit 1472750589714 1472750596125 6411
mDiffFit 1472750594343 1472750598245 3902
mDiffFit 1472750594516 1472750599911 5395
mConcatFit 1472750604137 1472750610017 5880
