task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mImgtbl 40 256 31596 35243 3647 32276 35826 3550 3141 224 185 256
mAdd 41 256 35254 42658 7404 35956 43239 7283 5123 1219 941 256
mShrink 42 256 42663 44697 2034 43397 45278 1881 639 584 658 256
mJPEG 43 256 44700 47869 3169 45411 48021 2610 626 1782 202 256
mProjectPP 2 512 29 3166 3137 755 3643 2888 294 2082 512 512
mProjectPP 9 512 37 3168 3131 751 3643 2892 317 2080 495 512
mProjectPP 3 512 29 3205 3176 635 3638 3003 327 2140 536 512
mProjectPP 5 512 30 3379 3349 762 3905 3143 379 2161 603 512
mDiffFit 14 512 3212 4711 1499 3741 5035 1294 844 160 290 512
mProjectPP 1 512 0 4712 4712 1800 5171 3371 574 2199 598 512
mDiffFit 17 512 3385 4884 1499 4076 5438 1362 825 224 313 512
mProjectPP 6 512 31 6110 6079 2835 6274 3439 632 2239 568 512
mProjectPP 4 512 30 6113 6083 2822 6252 3430 610 2200 620 512
mProjectPP 7 512 31 6115 6084 2819 6300 3481 657 2241 583 512
mProjectPP 8 512 31 6116 6085 2814 6305 3491 650 2205 636 512
mProjectPP 10 512 39 6117 6078 2504 6545 4041 660 2179 1202 512
mDiffFit 13 512 4725 6198 1473 5284 6629 1345 680 361 304 512
mDiffFit 12 512 4724 6465 1741 5419 7004 1585 1149 182 254 512
mDiffFit 11 512 4723 6885 2162 5351 7322 1971 1281 420 270 512
mDiffFit 24 512 6139 7962 1823 6669 7927 1258 675 279 304 512
mDiffFit 18 512 6150 7963 1813 6810 8154 1344 761 279 304 512
mDiffFit 26 512 6155 7963 1808 6813 8218 1405 768 268 369 512
mDiffFit 22 512 6141 8065 1924 6789 8599 1810 1308 260 242 512
mDiffFit 15 512 6149 8081 1932 6800 8626 1826 1264 280 282 512
mDiffFit 21 512 6140 8260 2120 6766 8764 1998 1316 359 323 512
mDiffFit 20 512 6141 8261 2120 6767 8755 1988 1304 347 337 512
mDiffFit 19 512 6140 8275 2135 6785 8814 2029 1403 261 365 512
mDiffFit 16 512 6140 9797 3657 7290 9838 2548 1898 363 287 512
mDiffFit 23 512 6149 9799 3650 7499 9935 2436 1848 320 268 512
mDiffFit 25 512 6141 9801 3660 7557 9952 2395 1882 244 269 512
mDiffFit 27 512 6156 9802 3646 7597 10073 2476 1919 283 274 512
mConcatFit 28 512 9811 10988 1177 10444 11479 1035 408 484 143 512
mBgModel 29 512 10995 18103 7108 11660 18302 6642 115 6400 127 512
mBackground 39 512 18144 19319 1175 18833 19837 1004 349 159 496 512
mBackground 31 512 18134 19554 1420 18769 20059 1290 465 222 603 512
mBackground 32 512 18135 19556 1421 18892 20051 1159 459 201 499 512
mBackground 37 512 18136 19572 1436 18889 20124 1235 499 142 594 512
mBackground 36 512 18136 19580 1444 18865 20109 1244 436 182 626 512
mBackground 33 512 18135 19581 1446 18840 20106 1266 498 261 507 512
mBackground 35 512 18136 19747 1611 18905 20288 1383 519 202 662 512
mBackground 30 512 18134 19919 1785 18887 20454 1567 517 261 789 512
mBackground 34 512 18135 19953 1818 18868 20484 1616 852 191 573 512
mBackground 38 512 18143 20870 2727 18880 20708 1828 458 199 1171 512
mImgtbl 40 512 20877 23022 2145 21506 23388 1882 1596 136 150 512
mAdd 41 512 23025 27307 4282 23637 27388 3751 2424 596 731 512
mShrink 42 512 27313 29482 2169 27997 29472 1475 383 357 735 512
mJPEG 43 512 29487 32245 2758 30217 31679 1462 419 841 202 512
mProjectPP 10 512 37 3108 3071 790 3660 2870 282 2083 505 512
mProjectPP 3 512 27 3111 3084 718 3649 2931 316 2142 473 512
mProjectPP 4 512 27 3139 3112 738 3672 2934 299 2098 537 512
mProjectPP 1 512 0 3162 3162 701 3698 2997 326 2140 531 512
mProjectPP 5 512 28 3174 3146 763 3710 2947 336 2161 450 512
mProjectPP 2 512 26 3184 3158 741 3710 2969 311 2101 557 512
mProjectPP 6 512 28 3227 3199 769 3781 3012 290 2181 541 512
mProjectPP 9 512 35 3259 3224 732 3776 3044 290 2162 592 512
mProjectPP 7 512 28 3324 3296 809 3854 3045 320 2160 565 512
mProjectPP 8 512 29 3446 3417 866 3997 3131 321 2259 551 512
mDiffFit 14 512 3193 6451 3258 4870 5973 1103 682 163 258 512
mDiffFit 22 512 3343 6453 3110 4818 6047 1229 690 244 295 512
mDiffFit 19 512 3191 6454 3263 4871 6108 1237 793 197 247 512
mDiffFit 27 512 3269 6455 3186 4753 6000 1247 683 298 266 512
mDiffFit 20 512 3342 6458 3116 4869 6279 1410 751 342 317 512
mDiffFit 13 512 3188 6460 3272 4788 6347 1559 1016 265 278 512
mDiffFit 21 512 3234 6462 3228 4808 6371 1563 1004 265 294 512
mDiffFit 12 512 3169 6462 3293 4792 6413 1621 1134 183 304 512
mDiffFit 11 512 3194 6463 3269 4831 6569 1738 1148 263 327 512
mDiffFit 16 512 3148 6464 3316 4846 6562 1716 1009 301 406 512
mDiffFit 26 512 3339 6465 3126 4944 6636 1692 1081 286 325 512
mDiffFit 17 512 3189 6465 3276 4791 6637 1846 1441 179 226 512
