task id resource start end time downloaded executed uploaded type
mDiffFit 258 1536 3496 4222 726 402 60 264 1536
mDiffFit 259 1536 3468 4203 735 432 53 250 1536
mDiffFit 254 1536 3532 4230 698 375 64 259 1536
mDiffFit 112 1536 2554 4220 1666 1345 85 236 1536
mDiffFit 253 1536 3435 4207 772 418 93 261 1536
mDiffFit 256 1536 3447 4241 794 503 78 213 1536
mDiffFit 257 1536 3495 4297 802 414 85 303 1536
mDiffFit 180 1536 3535 4251 716 393 61 262 1536
mDiffFit 314 1536 3460 4327 867 378 125 364 1536
mDiffFit 301 1536 3314 4269 955 452 188 315 1536
mDiffFit 148 1536 3318 4303 985 631 86 268 1536
mDiffFit 183 1536 3269 4264 995 688 103 204 1536
mDiffFit 313 1536 3610 4311 701 428 46 227 1536
mDiffFit 165 1536 3525 4262 737 413 78 246 1536
mDiffFit 178 1536 3499 4242 743 386 61 296 1536
mDiffFit 181 1536 3322 4314 992 597 119 276 1536
mDiffFit 255 1536 3626 4434 808 390 119 299 1536
mDiffFit 177 1536 3568 4335 767 383 105 279 1536
mDiffFit 172 1536 3585 4343 758 365 126 267 1536
mDiffFit 272 1536 3143 4364 1221 853 101 267 1536
mDiffFit 315 1536 3583 4317 734 363 95 276 1536
mDiffFit 334 1536 3329 4325 996 565 151 280 1536
mDiffFit 164 1536 3053 4315 1262 637 287 338 1536
mDiffFit 348 1536 3637 4364 727 422 59 246 1536
mDiffFit 310 1536 3486 4403 917 413 122 382 1536
mDiffFit 275 1536 3384 4332 948 622 108 218 1536
mDiffFit 355 1536 3291 4323 1032 547 174 311 1536
mDiffFit 264 1536 3451 4399 948 613 86 249 1536
mDiffFit 347 1536 3694 4453 759 356 87 316 1536
mDiffFit 361 1536 3609 4374 765 421 88 256 1536
mDiffFit 106 1536 2711 4415 1704 1322 91 291 1536
mDiffFit 249 1536 3546 4449 903 490 115 298 1536
mDiffFit 269 1536 3347 4450 1103 641 145 317 1536
mDiffFit 317 1536 2735 4459 1724 1326 122 276 1536
mDiffFit 266 1536 3540 4465 925 612 94 219 1536
mDiffFit 252 1536 3463 4420 957 616 74 267 1536
mDiffFit 251 1536 3517 4490 973 476 146 351 1536
mDiffFit 349 1536 3343 4456 1113 619 182 312 1536
mDiffFit 159 1536 3278 4458 1180 726 115 339 1536
mDiffFit 308 1536 3509 4500 991 624 101 266 1536
mDiffFit 336 1536 3476 4488 1012 571 114 327 1536
mDiffFit 321 1536 3503 4541 1038 608 149 281 1536
mDiffFit 192 1536 3512 4494 982 626 94 262 1536
mDiffFit 188 1536 3516 4539 1023 654 109 260 1536
mDiffFit 352 1536 3519 4543 1024 573 144 307 1536
mDiffFit 328 1536 3585 4576 991 622 132 237 1536
mDiffFit 357 1536 3550 4525 975 563 139 273 1536
mDiffFit 283 1536 3480 4522 1042 595 90 357 1536
mDiffFit 359 1536 3656 4613 957 377 142 438 1536
mDiffFit 105 1536 3407 4526 1119 657 146 316 1536
mDiffFit 322 1536 3598 4569 971 663 80 228 1536
mDiffFit 353 1536 3556 4565 1009 648 108 253 1536
mDiffFit 224 1536 3407 4597 1190 870 66 254 1536
mDiffFit 219 1536 3693 4655 962 624 86 252 1536
mDiffFit 190 1536 3672 4623 951 598 115 238 1536
mDiffFit 329 1536 3607 4651 1044 644 119 281 1536
mDiffFit 163 1536 3464 4556 1092 618 125 349 1536
mDiffFit 325 1536 3620 4639 1019 595 135 289 1536
mDiffFit 281 1536 3618 4638 1020 646 98 276 1536
mDiffFit 360 1536 3612 4663 1051 436 220 395 1536
mDiffFit 218 1536 3715 4675 960 630 81 249 1536
mDiffFit 286 1536 3601 4659 1058 627 145 286 1536
mDiffFit 222 1536 3729 4690 961 613 107 241 1536
mDiffFit 152 1536 3756 4731 975 567 104 304 1536
mDiffFit 149 1536 3695 4642 947 613 90 244 1536
mDiffFit 346 1536 3787 4724 937 652 86 199 1536
mDiffFit 316 1536 3620 4628 1008 624 123 261 1536
mDiffFit 319 1536 3662 4685 1023 578 175 270 1536
mDiffFit 198 1536 3827 4824 997 680 82 235 1536
mDiffFit 187 1536 3699 4743 1044 613 151 280 1536
mDiffFit 356 1536 3632 4707 1075 659 109 307 1536
mDiffFit 213 1536 3728 4726 998 588 122 288 1536
mDiffFit 273 1536 3640 4674 1034 618 88 328 1536
mDiffFit 351 1536 3643 4716 1073 615 120 338 1536
mDiffFit 292 1536 3738 4736 998 680 86 232 1536
mDiffFit 230 1536 3701 4700 999 641 101 257 1536
mDiffFit 215 1536 3707 4707 1000 628 120 252 1536
mDiffFit 240 1536 3736 4746 1010 625 124 261 1536
mDiffFit 227 1536 3807 4709 902 614 82 206 1536
mDiffFit 232 1536 3689 4724 1035 662 120 253 1536
mDiffFit 179 1536 3533 4696 1163 814 69 280 1536
mDiffFit 244 1536 3722 4735 1013 694 78 241 1536
mDiffFit 117 1536 3681 4704 1023 597 146 280 1536
mDiffFit 228 1536 3617 4675 1058 667 119 272 1536
mDiffFit 323 1536 3679 4770 1091 643 115 333 1536
mDiffFit 358 1536 3531 4723 1192 572 280 340 1536
mDiffFit 217 1536 3628 4729 1101 657 123 321 1536
mDiffFit 299 1536 3690 4770 1080 630 140 310 1536
mDiffFit 233 1536 3724 4780 1056 650 126 280 1536
mDiffFit 333 1536 3828 4808 980 648 91 241 1536
mDiffFit 243 1536 3764 4748 984 611 108 265 1536
mDiffFit 235 1536 3544 4633 1089 648 125 316 1536
mDiffFit 223 1536 3609 4739 1130 604 159 367 1536
mDiffFit 260 1536 3756 4759 1003 675 88 240 1536
mDiffFit 209 1536 3887 4802 915 621 80 214 1536
