task id resource request_start request_end request_duration type
execute_case_1_12 68 1024 1651 6808 5157 sdbcs 
execute_case_1_34 90 1024 1652 6786 5134 sdbcs 
execute_case_1_18 74 1024 1652 6886 5234 sdbcs 
execute_case_1_40 96 1024 1653 6788 5135 sdbcs 
execute_case_1_28 84 1024 1653 6844 5191 sdbcs 
execute_case_1_16 72 1024 1654 6766 5112 sdbcs 
execute_case_1_10 66 1024 1654 6757 5103 sdbcs 
execute_case_1_15 71 1024 1655 6756 5101 sdbcs 
execute_case_1_47 103 512 1655 11054 9399 sdbcs 
execute_case_1_23 79 1024 1656 6959 5303 sdbcs 
execute_case_1_49 105 1024 1656 6797 5141 sdbcs 
execute_case_1_0 56 1024 1657 6887 5230 sdbcs 
execute_case_1_6 62 1024 1657 6783 5126 sdbcs 
execute_case_1_48 104 1024 1658 6736 5078 sdbcs 
execute_case_1_45 101 512 1664 10971 9307 sdbcs 
execute_case_1_20 76 1024 1665 6757 5092 sdbcs 
execute_case_1_44 100 1024 1667 6849 5182 sdbcs 
execute_case_1_46 102 1024 1707 6827 5120 sdbcs 
average_result_0 206 1024 7296 8488 1192 sdbcs 
average_result_3 209 512 6905 8794 1889 sdbcs 
average_result_2 208 512 11826 13680 1854 sdbcs 
average_result_1 207 512 11343 13411 2068 sdbcs 
summary 210 256 13711 15128 1417 sdbcs 
