task id resource request_start request_end request_duration type
execute_case_1_21 77 512 1349 10547 9198 sdbcs 
execute_case_1_11 67 1024 1402 6659 5257 sdbcs 
execute_case_1_26 82 1024 1408 6736 5328 sdbcs 
execute_case_1_5 61 1024 1400 6660 5260 sdbcs 
execute_case_1_27 83 512 1358 10456 9098 sdbcs 
execute_case_1_42 98 1024 1431 6657 5226 sdbcs 
execute_case_1_39 95 1024 1421 6706 5285 sdbcs 
execute_case_1_33 89 1024 1412 6750 5338 sdbcs 
execute_case_1_43 99 1024 1433 6752 5319 sdbcs 
execute_case_1_3 59 1024 1399 6602 5203 sdbcs 
execute_case_1_4 60 1024 1399 6624 5225 sdbcs 
execute_case_1_22 78 1024 1406 6589 5183 sdbcs 
execute_case_1_19 75 512 1349 10547 9198 sdbcs 
execute_case_1_2 58 512 1342 10470 9128 sdbcs 
execute_case_1_17 73 512 1348 10489 9141 sdbcs 
execute_case_1_12 68 1024 1403 6677 5274 sdbcs 
execute_case_1_34 90 1024 1412 6664 5252 sdbcs 
execute_case_1_18 74 1024 1405 6652 5247 sdbcs 
execute_case_1_40 96 1024 1421 6753 5332 sdbcs 
execute_case_1_28 84 1024 1409 6705 5296 sdbcs 
execute_case_1_16 72 1024 1404 6608 5204 sdbcs 
execute_case_1_10 66 1024 1401 6634 5233 sdbcs 
execute_case_1_15 71 1024 1404 6631 5227 sdbcs 
execute_case_1_47 103 512 1340 10495 9155 sdbcs 
execute_case_1_23 79 1024 1407 6679 5272 sdbcs 
execute_case_1_49 105 1024 1397 6650 5253 sdbcs 
execute_case_1_0 56 1024 1397 6649 5252 sdbcs 
execute_case_1_6 62 1024 1400 6623 5223 sdbcs 
execute_case_1_48 104 1024 1396 6634 5238 sdbcs 
execute_case_1_45 101 512 1340 10434 9094 sdbcs 
execute_case_1_20 76 1024 1406 6567 5161 sdbcs 
execute_case_1_44 100 1024 1394 6605 5211 sdbcs 
execute_case_1_46 102 1024 1395 6516 5121 sdbcs 
average_result_0 206 1024 7456 8617 1161 sdbcs 
average_result_3 209 512 7414 9328 1914 sdbcs 
average_result_2 208 512 11757 13851 2094 sdbcs 
average_result_1 207 512 10901 12895 1994 sdbcs 
summary 210 256 13978 15600 1622 sdbcs 
