task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mDiffFit 21 256 5732 9395 3663 6634 9951 3317 2240 720 357 256
mConcatFit 28 256 9405 11452 2047 10093 12057 1964 738 1063 163 256
mBgModel 29 256 11459 24925 13466 12128 25529 13401 142 13122 137 256
mBackground 39 256 24954 26543 1589 25598 27092 1494 597 301 596 256
mBackground 38 256 24952 26551 1599 25606 27090 1484 598 320 566 256
mBackground 32 256 24943 26591 1648 25624 27151 1527 616 321 590 256
mBackground 36 256 24945 26609 1664 25644 27186 1542 637 301 604 256
mBackground 30 256 24942 26615 1673 25606 27165 1559 650 263 646 256
mBackground 34 256 24944 26686 1742 25604 27225 1621 658 302 661 256
mBackground 31 256 24942 26735 1793 25623 27340 1717 708 383 626 256
mBackground 33 256 24943 26933 1990 25782 27519 1737 820 320 597 256
mBackground 35 256 24944 27136 2192 25771 27699 1928 736 481 711 256
mBackground 37 256 24945 27153 2208 25701 27782 2081 998 361 722 256
mImgtbl 40 256 27161 30074 2913 27866 30703 2837 2434 242 161 256
mAdd 41 256 30078 47315 17237 37160 47914 10754 8839 1023 892 256
mShrink 42 256 47323 49301 1978 48080 49926 1846 640 580 626 256
mJPEG 43 256 49306 52035 2729 50020 52652 2632 719 1662 251 256
mProjectPP 6 256 31 5363 5332 684 5892 5208 402 4220 586 256
mProjectPP 1 256 0 5429 5429 781 5968 5187 347 4221 619 256
mProjectPP 8 256 32 5448 5416 750 6053 5303 385 4241 677 256
mProjectPP 5 256 28 5477 5449 730 6026 5296 390 4280 626 256
mProjectPP 3 256 27 5495 5468 713 6056 5343 398 4241 704 256
mProjectPP 4 256 28 5507 5479 729 6093 5364 417 4263 684 256
mProjectPP 2 256 6 5563 5557 763 6192 5429 381 4343 705 256
mProjectPP 9 256 32 5606 5574 767 6185 5418 438 4341 639 256
mProjectPP 7 256 32 5626 5594 804 6187 5383 440 4340 603 256
mProjectPP 10 256 35 5656 5621 794 6208 5414 385 4364 665 256
mDiffFit 14 256 5573 7754 2181 6184 8290 2106 1503 322 281 256
mDiffFit 15 256 5574 7767 2193 6202 8325 2123 1423 382 318 256
mDiffFit 17 256 5501 7837 2336 6215 8441 2226 1564 340 322 256
mDiffFit 22 256 5638 7891 2253 6317 8432 2115 1357 481 277 256
mDiffFit 11 256 5574 7947 2373 6173 8434 2261 1367 543 351 256
mDiffFit 19 256 5512 7991 2479 6162 8528 2366 1486 542 338 256
mDiffFit 25 256 5636 8074 2438 6331 8605 2274 1609 322 343 256
mDiffFit 20 256 5638 8139 2501 6360 8701 2341 1460 541 340 256
mDiffFit 27 256 5661 8150 2489 6368 8695 2327 1602 398 327 256
mDiffFit 23 256 5644 8173 2529 6395 8733 2338 1420 381 537 256
mDiffFit 21 256 5484 8181 2697 6159 8729 2570 1542 521 507 256
mDiffFit 16 256 5514 8322 2808 6148 8884 2736 1843 540 353 256
mDiffFit 12 256 5503 8324 2821 6193 8901 2708 1832 543 333 256
mDiffFit 13 256 5485 8357 2872 6150 8942 2792 1736 703 353 256
mDiffFit 18 256 5503 8409 2906 6213 9037 2824 1771 701 352 256
mDiffFit 24 256 5613 8508 2895 6230 9057 2827 1752 721 354 256
mDiffFit 26 256 5660 9321 3661 6586 9878 3292 2319 583 390 256
mConcatFit 28 256 9329 11315 1986 9960 11870 1910 666 1080 164 256
mBgModel 29 256 11318 24857 13539 11947 25138 13191 133 12886 172 256
mBackground 37 256 24872 26547 1675 25609 27079 1470 545 341 584 256
mBackground 35 256 24871 26602 1731 25665 27169 1504 601 321 582 256
mBackground 39 256 24885 26610 1725 25627 27186 1559 618 321 620 256
mBackground 38 256 24882 26623 1741 25567 27172 1605 632 320 653 256
mBackground 34 256 24871 26644 1773 25602 27188 1586 658 340 588 256
mBackground 32 256 24870 26877 2007 25568 27434 1866 737 401 728 256
mBackground 31 256 24870 26887 2017 25640 27447 1807 620 502 685 256
mBackground 30 256 24869 26925 2056 25608 27470 1862 658 501 703 256
mBackground 33 256 24871 27566 2695 25903 27772 1869 820 401 648 256
mBackground 36 256 24872 27569 2697 25631 27750 2119 1160 303 656 256
mImgtbl 40 256 27579 31916 4337 28209 32420 4211 3602 403 206 256
mAdd 41 256 31927 38956 7029 32572 39513 6941 4868 1173 900 256
mShrink 42 256 38958 41033 2075 39734 41595 1861 617 564 680 256
mJPEG 43 256 41036 43898 2862 41658 44230 2572 633 1682 257 256
mProjectPP 5 256 26 6031 6005 766 5882 5116 340 4180 596 256
mProjectPP 1 256 0 6034 6034 799 6049 5250 410 4261 579 256
mProjectPP 3 256 26 6035 6009 770 6000 5230 361 4244 625 256
mProjectPP 9 256 36 6035 5999 785 6003 5218 335 4261 622 256
mProjectPP 2 256 25 6036 6011 729 6053 5324 348 4342 634 256
mProjectPP 4 256 26 6037 6011 768 6089 5321 337 4361 623 256
mProjectPP 7 256 28 6038 6010 812 6123 5311 400 4240 671 256
mProjectPP 10 256 36 6043 6007 795 6150 5355 396 4343 616 256
mProjectPP 8 256 28 6043 6015 743 6219 5476 343 4283 850 256
mProjectPP 6 256 27 6044 6017 732 6230 5498 340 4301 857 256
mDiffFit 14 256 6074 8186 2112 6802 8732 1930 1305 322 303 256
mDiffFit 22 256 6084 8237 2153 6796 8774 1978 1317 304 357 256
mDiffFit 15 256 6085 8382 2297 6772 8932 2160 1396 381 383 256
mDiffFit 17 256 6073 8384 2311 6771 8940 2169 1558 320 291 256
mDiffFit 18 256 6086 8396 2310 6802 8932 2130 1291 521 318 256
mDiffFit 11 256 6074 8439 2365 6811 8996 2185 1289 564 332 256
mDiffFit 27 256 6085 8506 2421 6863 9105 2242 1564 378 300 256
mDiffFit 26 256 6085 8515 2430 6817 9056 2239 1340 562 337 256
mDiffFit 13 256 6072 8711 2639 6750 9184 2434 1402 704 328 256
mDiffFit 25 256 6076 8712 2636 6881 9301 2420 1790 340 290 256
mDiffFit 21 256 6097 8713 2616 6784 9250 2466 1316 821 329 256
mDiffFit 19 256 6075 8714 2639 6809 9248 2439 1602 523 314 256
mDiffFit 23 256 6091 8715 2624 6807 9285 2478 1647 520 311 256
mDiffFit 24 256 6095 8803 2708 6830 9319 2489 1623 578 288 256
mDiffFit 20 256 6076 8805 2729 6795 9358 2563 1517 702 344 256
mDiffFit 12 256 6073 8806 2733 6987 9313 2326 1581 379 366 256
