task id resource request_start request_end request_duration type
execute_case_3_33 189 512 2373 11619 9246 sdbws 
execute_case_3_34 190 512 2373 11628 9255 sdbws 
execute_case_3_35 191 512 2374 11600 9226 sdbws 
execute_case_3_36 192 512 2374 11647 9273 sdbws 
execute_case_3_37 193 512 2374 11708 9334 sdbws 
execute_case_3_38 194 512 2374 11645 9271 sdbws 
execute_case_3_39 195 512 2375 11727 9352 sdbws 
execute_case_3_40 196 512 2380 11680 9300 sdbws 
execute_case_3_41 197 512 2381 11573 9192 sdbws 
execute_case_3_42 198 512 2387 11794 9407 sdbws 
execute_case_3_43 199 512 2388 11629 9241 sdbws 
execute_case_3_44 200 512 2388 11659 9271 sdbws 
execute_case_3_45 201 512 2389 11780 9391 sdbws 
execute_case_3_46 202 512 2389 11634 9245 sdbws 
execute_case_3_47 203 512 2389 11762 9373 sdbws 
execute_case_3_48 204 512 2401 11609 9208 sdbws 
execute_case_3_49 205 512 2408 11690 9282 sdbws 
average_result_0 206 256 13290 16344 3054 sdbws 
average_result_1 207 256 12142 15146 3004 sdbws 
average_result_2 208 512 13700 15541 1841 sdbws 
average_result_3 209 256 12020 14964 2944 sdbws 
summary 210 256 16476 17964 1488 sdbws 
