mProjectPP 3 1536 2522 4730 2208 1536
mDiffFit 27 1536 4031 4790 759 1536
mProjectPP 5 1536 2582 4877 2295 1536
mDiffFit 20 1536 3358 4965 1607 1536
mDiffFit 25 1536 4002 5284 1282 1536
mDiffFit 11 1536 3365 5372 2007 1536
mDiffFit 26 1536 3987 5574 1587 1536
mDiffFit 24 1536 4037 5673 1636 1536
mDiffFit 16 1536 4859 5692 833 1536
mDiffFit 14 1536 4909 5807 898 1536
mDiffFit 12 1536 4915 5882 967 1536
mDiffFit 18 1536 4867 6126 1259 1536
mDiffFit 22 1536 5053 6670 1617 1536
mDiffFit 21 1536 5051 6758 1707 1536
mDiffFit 19 1536 6279 8111 1832 1536
mDiffFit 17 1536 6577 8438 1861 1536
mDiffFit 13 1536 6535 11402 4867 1536
mConcatFit 28 1536 11726 12179 453 1536
mBgModel 29 1536 12452 14638 2186 1536
mBackground 35 1536 14967 15759 792 1536
mBackground 36 1536 14941 15810 869 1536
mBackground 34 1536 14902 15793 891 1536
mBackground 30 1536 14844 15813 969 1536
mBackground 39 1536 14953 15865 912 1536
mBackground 33 1536 14955 15873 918 1536
mBackground 31 1536 14928 15920 992 1536
mBackground 38 1536 14875 15911 1036 1536
mBackground 32 1536 14949 16089 1140 1536
mBackground 37 1536 14971 16357 1386 1536
mImgtbl 40 1536 16668 17753 1085 1536
mAdd 41 1536 17989 20046 2057 1536
mShrink 42 1536 20272 21114 842 1536
mJPEG 43 1536 21230 22061 831 1536
mProjectPP 9 1536 73 1441 1368 1536
mProjectPP 7 1536 65 1423 1358 1536
mProjectPP 8 1536 10 1450 1440 1536
mProjectPP 6 1536 42 1493 1451 1536
mProjectPP 1 1536 44 1735 1691 1536
mProjectPP 3 1536 50 1863 1813 1536
mProjectPP 4 1536 37 1996 1959 1536
mProjectPP 5 1536 6 2021 2015 1536
mProjectPP 2 1536 0 1996 1996 1536
mProjectPP 10 1536 23 2176 2153 1536
mDiffFit 25 1536 1701 2396 695 1536
mDiffFit 24 1536 1643 2452 809 1536
mDiffFit 23 1536 1665 2738 1073 1536
mDiffFit 12 1536 1981 3036 1055 1536
mDiffFit 16 1536 2487 3268 781 1536
mDiffFit 20 1536 2522 3316 794 1536
mDiffFit 11 1536 2584 3388 804 1536
mDiffFit 18 1536 1979 3409 1430 1536
mDiffFit 14 1536 2572 3633 1061 1536
mDiffFit 27 1536 2568 3649 1081 1536
mDiffFit 26 1536 2550 3679 1129 1536
mDiffFit 17 1536 2616 3727 1111 1536
mDiffFit 21 1536 2596 3831 1235 1536
mDiffFit 19 1536 2505 3934 1429 1536
mDiffFit 22 1536 2522 4127 1605 1536
mDiffFit 13 1536 3191 5077 1886 1536
mDiffFit 15 1536 3860 5339 1479 1536
mConcatFit 28 1536 5465 5900 435 1536
mBgModel 29 1536 6116 8260 2144 1536
mBackground 31 1536 8608 9381 773 1536
mBackground 36 1536 8639 9482 843 1536
mBackground 33 1536 8592 9533 941 1536
mBackground 32 1536 8589 9605 1016 1536
mBackground 34 1536 8626 9650 1024 1536
mBackground 35 1536 8674 9667 993 1536
mBackground 39 1536 8689 9939 1250 1536
mBackground 37 1536 8713 10136 1423 1536
mBackground 30 1536 8695 10150 1455 1536
mBackground 38 1536 8636 10739 2103 1536
mImgtbl 40 1536 11069 13461 2392 1536
mAdd 41 1536 13800 16376 2576 1536
mShrink 42 1536 16723 17849 1126 1536
mJPEG 43 1536 17969 18883 914 1536
mProjectPP 10 1536 46 1469 1423 1536
mProjectPP 2 1536 42 1538 1496 1536
mProjectPP 5 1536 0 1590 1590 1536
mProjectPP 3 1536 40 1613 1573 1536
mProjectPP 1 1536 38 1617 1579 1536
mProjectPP 8 1536 38 1952 1914 1536
mProjectPP 6 1536 30 2002 1972 1536
mProjectPP 9 1536 13 2000 1987 1536
mProjectPP 7 1536 49 2029 1980 1536
mProjectPP 4 1536 55 2086 2031 1536
mDiffFit 13 1536 1965 2924 959 1536
mDiffFit 15 1536 2128 3098 970 1536
mDiffFit 23 1536 2268 3150 882 1536
mDiffFit 11 1536 1929 3148 1219 1536
mDiffFit 12 1536 1950 3211 1261 1536
mDiffFit 27 1536 2173 3498 1325 1536
mDiffFit 24 1536 2260 3555 1295 1536
mDiffFit 18 1536 2105 3542 1437 1536
mDiffFit 16 1536 2340 3572 1232 1536
mDiffFit 26 1536 2304 3623 1319 1536
mDiffFit 17 1536 1965 3622 1657 1536
mDiffFit 14 1536 1928 3645 1717 1536
mDiffFit 22 1536 2272 4078 1806 1536
mDiffFit 19 1536 3064 4164 1100 1536
mDiffFit 25 1536 2262 4684 2422 1536
mDiffFit 21 1536 2111 4743 2632 1536
mDiffFit 20 1536 3545 4906 1361 1536
mConcatFit 28 1536 5033 5502 469 1536
mBgModel 29 1536 5779 7931 2152 1536
mBackground 34 1536 8280 9107 827 1536
mBackground 39 1536 8355 9158 803 1536
mBackground 35 1536 8269 9119 850 1536
mBackground 33 1536 8301 9189 888 1536
mBackground 32 1536 8263 9177 914 1536
